,Agent,Application ID,Burn Priority,Burn Request ID,Est. Permit Tonnage,Forest Health Exempt,Harvest Acres,Ignition Date,Ignition Period,In UGA,Landowner,Multi Day Burn,Permit Number,Post-Burn,Proposed Burn Area,Request Date,Smoke Dispersed,Total Proposed Burn,Unit Name,Lat,Lon,Request Year,Request Month,Burn Decision,Decision Date,Region
251,Joe Smith,3618,,6915,2995.0,,573.0,2016-11-18 09:30:00,180.0,,Wa Dnr Wa Dnr,,SE20160073,,150.0,2016-11-16 13:41:07,,950.0,PLUMBACK FIT,47.138514, -120.847371,2016,11,Denied,2016-11-18 00:00:00,SE
252,James Hartley,3614,,6275,351.0,,2.0,2016-11-18 08:00:00,180.0,,Stimson Lumber Company Stimson Lumber Company,,NE20160268,,2.0,2016-11-17 08:14:00,,351.0,,48.4023, -117.879183,2016,11,Approved,2016-11-18 00:00:00,NE
253,Tyler Edwards,2955,,6504,720.0,,96.0,2016-11-18 08:00:00,360.0,,Washington Department Of Natural Resources Washington Department Of Natural Resources,,OL20160230,,59.0,2016-11-16 08:40:15,,490.0,RUSTY TAILGATE UNIT 1,47.932243, -124.385698,2016,11,Denied,2016-11-18 00:00:00,OL
254,,5061,,7009,78.0,,300.0,2016-11-17 09:30:00,5.0,,Harry Knowlton,,NE20160517,,300.0,2016-11-22 00:00:00,,78.0,,48.172959, -118.856407,2016,11,Approved,2016-11-22 00:00:00,NE
255,,5028,1.0,6850,8996.0,,1400.0,2016-11-17 09:00:00,480.0,,Naches Naches,,40000001181,,400.0,2016-11-17 00:00:00,,800.0,NELLI LANDINGS 2016,46.8648, -121.0324,2016,11,Approved,2016-11-17 00:00:00,FED
256,,4770,,6935,30.0,,10.0,2016-11-17 09:30:00,5.0,,Greg Thomas,,NE20160523,,10.0,2016-11-21 00:00:00,,30.0,,47.966864, -117.381971,2016,11,Approved,2016-11-21 00:00:00,NE
257,Eric Bieker,4500,,6274,402.0,,419.0,2016-11-17 07:00:00,180.0,,WESTERN PACIFIC TIMBER LLC WESTERN PACIFIC TIMBER LLC,,SE20160093,,200.0,2016-11-16 10:35:57,,205.0,MILL CREEK GATE,45.948808, -120.895051,2016,11,Approved,2016-11-17 00:00:00,SE
258,PULLEY CORPORATION PULLEY CORPORATION,4085,,6481,22.0,,82.0,2016-11-17 09:30:00,5.0,,Dnr Dnr,,NW20160092,,82.0,2016-11-18 00:00:00,,22.0,HOTSHOT,48.293497, -121.969743,2016,11,Approved,2016-11-18 00:00:00,NW
259,Joe Smith,3618,,6914,2995.0,,573.0,2016-11-17 09:30:00,180.0,,Wa Dnr Wa Dnr,,SE20160073,,148.0,2016-11-16 13:40:32,,945.0,PLUMBACK FIT,47.138514, -120.847371,2016,11,Denied,2016-11-17 00:00:00,SE
260,James Hartley,3612,,6506,361.0,,2.0,2016-11-17 08:00:00,120.0,,Stimson Lumber Company Stimson Lumber Company,,NE20160266,,2.0,2016-11-16 09:56:02,,261.0,,48.128229, -118.052562,2016,11,Approved,2016-11-17 00:00:00,NE
261,,3413,,6351,30.0,,10.0,2016-11-17 09:30:00,5.0,,Richard Cerenzia,,NE20160520,,10.0,2016-11-18 00:00:00,,30.0,,47.837961, -117.464916,2016,11,Approved,2016-11-18 00:00:00,NE
262,,3412,,6350,30.0,,10.0,2016-11-17 09:30:00,5.0,,Boni Barta,,NE20160518,,10.0,2016-11-18 00:00:00,,30.0,,47.514189, -117.270819,2016,11,Approved,2016-11-18 00:00:00,NE
263,Richard Schellhaas,4747,,6918,38.0,,30.0,2016-11-16 09:30:00,5.0,,Kyle Peltonen,,SE20160117,,30.0,2016-11-18 00:00:00,,38.0,PELTONEN,47.751649, -120.619762,2016,11,Approved,2016-11-18 00:00:00,SE
264,STEVENS COUNTY TITLE STEVENS COUNTY TITLE,4601,,6840,2.0,,3.0,2016-11-16 09:30:00,5.0,,Geoffrey Ginther,,NE20160502,,3.0,2016-11-16 00:00:00,,2.0,,48.445469, -118.074399,2016,11,Approved,2016-11-16 00:00:00,NE
265,Eric Bieker,4500,,6448,402.0,,419.0,2016-11-16 04:00:00,60.0,,WESTERN PACIFIC TIMBER LLC WESTERN PACIFIC TIMBER LLC,,SE20160093,,120.0,2016-11-29 20:10:25,,98.0,MILL CREEK GATE,45.948808, -120.895051,2016,11,,,SE
266,Eric Bieker,4498,,7027,484.0,,366.0,2016-11-16 07:30:00,240.0,,WESTERN PACIFIC TIMBER LLC WESTERN PACIFIC TIMBER LLC,,SE20160089,,366.0,2016-11-14 07:48:43,,484.0,GORDON,45.919244, -120.853355,2016,11,Approved,2016-11-16 00:00:00,SE
267,Eric Bieker,4497,,7026,277.0,,223.0,2016-11-16 07:00:00,240.0,,WESTERN PACIFIC TIMBER LLC WESTERN PACIFIC TIMBER LLC,,SE20160087,,223.0,2016-11-14 07:47:51,,277.0,ROSCOE,45.934249, -120.894923,2016,11,Approved,2016-11-16 00:00:00,SE
268,BALDWIN LOGGING,4305,,6572,328.0,,19.0,2016-11-16 08:30:00,540.0,,Mike Titus,,SP20160082,,19.0,2016-11-15 13:15:18,,100.0,WILSON LANDING,46.872323, -122.644771,2016,11,Approved,2016-11-16 00:00:00,SP
269,,4257,,6598,30.0,,9.0,2016-11-16 09:30:00,5.0,,Rian Colt,,NORTHE,,9.0,2016-11-18 00:00:00,,30.0,,47.794351, -117.529057,2016,11,Approved,2016-11-18 00:00:00,NE
270,,4256,,6597,30.0,,9.0,2016-11-16 09:30:00,5.0,,Dennis Schult,,NE20160515,,9.0,2016-11-18 00:00:00,,30.0,,48.173968, -117.079873,2016,11,Approved,2016-11-18 00:00:00,NE
271,,4255,,6596,30.0,,9.0,2016-11-16 09:30:00,5.0,,Samuel Harding,,NE20160514,,9.0,2016-11-18 00:00:00,,30.0,,47.572629, -117.227594,2016,11,Approved,2016-11-18 00:00:00,NE
272,Bill Westergreen,4083,,6952,295.0,,110.0,2016-11-16 09:00:00,90.0,,Dnr Dnr,,NW20161081,,2.0,2016-11-16 00:00:00,,99.0,RUSTY RED,48.564093, -122.055935,2016,11,,,NW
273,Warren Weston,4063,,6480,166.0,,21.0,2016-11-16 09:00:00,90.0,,Pilchuck Tree Farm Pilchuck Tree Farm,,NW20161056,,2.0,2016-11-16 00:00:00,,15.0,CAMP BROTHERHOOD,48.306342, -122.206828,2016,11,,,NW
274,,3881,,6492,30.0,,10.0,2016-11-16 09:30:00,5.0,,Troy Shaddox,,NE20160506,,10.0,2016-11-21 00:00:00,,30.0,,48.777842, -119.308462,2016,11,Approved,2016-11-21 00:00:00,NE
275,,3299,2.0,6851,6664.0,,595.0,2016-11-16 11:00:00,200.0,,Tonasket Tonasket,,40000001140,,26.0,2016-11-16 00:00:00,,86.0,FROSTED EXC,48.624906, -118.967348,2016,11,,,FED
276,,2962,1.0,6852,2522.0,,496.0,2016-11-16 11:00:00,240.0,,MVRD Fuels,,40000001161,,,2016-11-16 00:00:00,,156.0,2016 EIGHTMILE PILES,48.36149, -120.09949,2016,11,,,FED
277,,4746,,6917,10.0,,1.0,2016-11-15 09:30:00,5.0,,Matt Hull,,SE20160118,,1.0,2016-11-18 00:00:00,,10.0,HULL,45.760353, -121.455858,2016,11,Approved,2016-11-18 00:00:00,SE
278,Eric Bieker,4500,,6447,402.0,,419.0,2016-11-15 08:00:00,60.0,,WESTERN PACIFIC TIMBER LLC WESTERN PACIFIC TIMBER LLC,,SE20160093,,99.0,2016-11-29 20:08:25,,99.0,MILL CREEK GATE,45.948808, -120.895051,2016,11,,,SE
279,Eric Bieker,4499,,7050,579.0,,985.0,2016-11-15 07:00:00,480.0,,WESTERN PACIFIC TIMBER LLC WESTERN PACIFIC TIMBER LLC,,SE20160092,,985.0,2016-11-14 07:35:02,,579.0,UNCLE JESSE,45.948325, -120.874216,2016,11,Approved,2016-11-15 00:00:00,SE
280,BRIAN VRABLICK,4260,,6601,18.0,,14.0,2016-11-15 09:30:00,5.0,,Jim Nett,,NE20160510,,14.0,2016-11-18 00:00:00,,18.0,,48.858661, -117.465818,2016,11,Approved,2016-11-18 00:00:00,NE
281,BRIAN VRABLICK,4259,,6600,30.0,,9.0,2016-11-15 09:30:00,5.0,,Gary Clark,,NE20160509,,9.0,2016-11-18 00:00:00,,30.0,,47.981424, -117.381792,2016,11,Approved,2016-11-18 00:00:00,NE
282,,4258,,6599,20.0,,40.0,2016-11-15 09:30:00,5.0,,Thomas Jovan,,NE20160508,,40.0,2016-11-18 00:00:00,,20.0,,47.925575, -117.422545,2016,11,Approved,2016-11-18 00:00:00,NE
283,Aric Lemmon,4128,,6532,110.0,,19.0,2016-11-15 08:00:00,100.0,,Stevenson Lumber Company Stevenson Lumber Company,,SE20160050,,9.0,2016-11-16 07:31:48,,50.0,INDIAN HEIGHTS,45.746149, -121.476404,2016,11,,,SE
284,Aric Lemmon,4126,,6370,154.0,,40.0,2016-11-15 08:00:00,100.0,,Stevenson Lumber Company Stevenson Lumber Company,,SE20160047,,15.0,2016-11-16 07:33:12,,55.0,KIMMIE SUE 2,45.81927, -121.291148,2016,11,,,SE
285,Bill Westergreen,4083,,7030,295.0,,110.0,2016-11-15 09:00:00,90.0,,Dnr Dnr,,NW20161081,,2.0,2016-11-15 00:00:00,,80.0,RUSTY RED,48.564093, -122.055935,2016,11,,,NW
286,Warren Weston,4063,,6533,166.0,,21.0,2016-11-15 09:00:00,90.0,,Pilchuck Tree Farm Pilchuck Tree Farm,,NW20161056,,2.0,2016-11-15 00:00:00,,50.0,CAMP BROTHERHOOD,48.306342, -122.206828,2016,11,,,NW
287,Daisuke Sakuma,3880,,7067,683.0,,100.0,2016-11-15 09:00:00,120.0,,Sierra Pacific Sierra Pacific,,NW20161087,,100.0,2016-11-14 12:43:59,,683.0,SAMS CLUB 2,48.555, -122.188,2016,11,Approved,2016-11-15 00:00:00,NW
288,Joe Smith,3618,,7049,2995.0,,573.0,2016-11-15 09:00:00,180.0,,Wa Dnr Wa Dnr,,SE20160073,,150.0,2016-11-14 07:33:28,,1000.0,PLUMBACK FIT,47.138514, -120.847371,2016,11,Approved,2016-11-15 00:00:00,SE
289,Greg Nesgoda,3451,,6893,222.0,,32.0,2016-11-15 09:00:00,300.0,,Rayonier Washington Timber Company Rayonier Washington Timber Company,,OL20160241,,14.0,2016-11-14 09:42:03,,122.0,,47.06108, -123.953859,2016,11,Approved,2016-11-15 00:00:00,OL
290,,5238,,7165,30.0,,5.0,2016-11-14 09:30:00,5.0,,Seth Miller,,PC20160435,,5.0,2016-11-14 00:00:00,,30.0,MILLER UNIT,46.510658, -122.855517,2016,11,Approved,2016-11-14 00:00:00,PC
291,Don Bellamy,5030,,7029,86.0,,14.0,2016-11-14 09:30:00,5.0,,Dnr Dnr,,NW20160091,,14.0,2016-11-16 00:00:00,,86.0,CASKEY WEST UNIT 2,48.39441, -121.565279,2016,11,Approved,2016-11-16 00:00:00,NW
292,,5029,1.0,7025,5443.0,,698.0,2016-11-14 09:00:00,180.0,,Naches Naches,,40000001182,,20.0,2016-11-14 00:00:00,,80.0,ELDERBERRY GRAPPLE 2016,46.70237, -120.96101,2016,11,Approved,2016-11-14 00:00:00,FED
293,,5028,2.0,7024,8996.0,,1400.0,2016-11-14 09:00:00,480.0,,Naches Naches,,40000001181,,300.0,2016-11-14 00:00:00,,600.0,NELLI LANDINGS 2016,46.8648, -121.0324,2016,11,Approved,2016-11-14 00:00:00,FED
294,Randy Bartelt,4744,,6906,10.0,,2.0,2016-11-14 09:30:00,5.0,,David Syre,,NW20160088,,2.0,2016-11-14 00:00:00,,10.0,SYRE,48.871953, -122.319687,2016,11,Approved,2016-11-14 00:00:00,NW
295,,4600,,6839,185.0,,5.0,2016-11-14 09:30:00,5.0,,William White,,NE20160494,,5.0,2016-11-16 00:00:00,,185.0,,48.355553, 120.13881,2016,11,Approved,2016-11-16 00:00:00,NE
296,PALM CONSTRUCTION PALM CONSTRUCTION,4599,,6838,42.0,,80.0,2016-11-14 09:30:00,5.0,,Paul Rock,,NE20160490,,80.0,2016-11-16 00:00:00,,42.0,,48.431704, -120.089482,2016,11,Approved,2016-11-16 00:00:00,NE
297,Eric Bieker,4496,,6888,270.0,,200.0,2016-11-14 07:00:00,300.0,,WESTERN PACIFIC TIMBER LLC WESTERN PACIFIC TIMBER LLC,,SE20160085,,200.0,2016-11-10 10:27:53,,270.0,BOWMAN BRIDGE,45.977884, -120.937096,2016,11,Approved,2016-11-14 00:00:00,SE
298,Monika Madison,4463,,6784,60.0,,3.0,2016-11-14 09:30:00,5.0,,J Or M Madison Llc J Or M Madison Llc,,SE20160116,,3.0,2016-11-21 00:00:00,,60.0,J OR M MADISON LLC,47.212197, -121.08004,2016,11,Approved,2016-11-21 00:00:00,SE
299,Aric Lemmon,4128,,6356,110.0,,19.0,2016-11-14 08:00:00,100.0,,Stevenson Lumber Company Stevenson Lumber Company,,SE20160050,,10.0,2016-11-16 07:31:27,,60.0,INDIAN HEIGHTS,45.746149, -121.476404,2016,11,,,SE
300,MERRILL & RING FOREST PR MERRILL & RING FOREST PR,3696,,6398,100.0,,156.0,2016-11-14 09:30:00,5.0,,Wulz Estate C/O Barbara Grega Wulz Estate C/O Barbara Grega,,PC20160436,,156.0,2016-11-14 00:00:00,,100.0,PLEASANT VALLEY,46.74114, -122.245382,2016,11,Approved,2016-11-14 00:00:00,PC
301,Larry Shinn,3694,,6397,45.0,,4.0,2016-11-14 09:30:00,5.0,,Lawrence & Maude Shinn Trust Lawrence & Maude Shinn Trust,,PC20160437,,4.0,2016-11-14 00:00:00,,45.0,L. SHINN TRUST,45.945831, -122.482938,2016,11,Approved,2016-11-14 00:00:00,PC
302,,3406,,6347,30.0,,10.0,2016-11-14 09:30:00,5.0,,Ray Antonsen,,NE20160500,,10.0,2016-11-18 00:00:00,,30.0,,47.896679, -117.379398,2016,11,Approved,2016-11-18 00:00:00,NE
303,,3405,,6346,30.0,,10.0,2016-11-14 09:30:00,5.0,,Allen Coxon,,NE20160503,,10.0,2016-11-18 00:00:00,,30.0,,47.839815, -117.874591,2016,11,Approved,2016-11-18 00:00:00,NE
304,,3404,,6345,30.0,,10.0,2016-11-14 09:30:00,5.0,,Lee Eickmeyer,,NE20160504,,10.0,2016-11-18 00:00:00,,30.0,,47.86708, -117.508573,2016,11,Approved,2016-11-18 00:00:00,NE
305,,3403,,6344,30.0,,10.0,2016-11-14 09:30:00,5.0,,Mark Breese,,NE20160505,,10.0,2016-11-18 00:00:00,,30.0,,48.082462, -117.317013,2016,11,Approved,2016-11-18 00:00:00,NE
306,,3402,,6343,30.0,,10.0,2016-11-14 09:30:00,5.0,,Warren Cooley,,NE20160507,,10.0,2016-11-18 00:00:00,,30.0,,47.939947, -117.422972,2016,11,Approved,2016-11-18 00:00:00,NE
307,Bob Hartley,2973,,6609,30.0,,9.0,2016-11-14 09:30:00,5.0,,Hans Ore Blo,,NE20160499,,9.0,2016-11-18 00:00:00,,30.0,,48.128129, -117.07812,2016,11,Approved,2016-11-18 00:00:00,NE
308,Frank Harkness,4682,,6913,180.0,,72.0,2016-11-12 09:00:00,90.0,,Dnr Dnr,,NW20161086,,36.0,2016-11-12 00:00:00,,90.0,CHOKERS,48.88324, -122.189232,2016,11,,,NW
309,,4152,,7008,143.0,,40.0,2016-11-12 09:00:00,480.0,,David Miller,,NE20160392,,5.0,2016-11-11 09:43:32,,140.0,,47.911079, -117.401099,2016,11,Denied,2016-11-12 00:00:00,NE
310,Frank Harkness,4682,,6912,180.0,,72.0,2016-11-11 09:00:00,90.0,,Dnr Dnr,,NW20161086,,36.0,2016-11-11 00:00:00,,90.0,CHOKERS,48.88324, -122.189232,2016,11,,,NW
311,Frank Harkness,4681,,6911,175.0,,73.0,2016-11-11 09:00:00,90.0,,Dnr Dnr,,NW20161085,,35.0,2016-11-11 00:00:00,,87.0,SCHOOL BELL,48.868532, -122.189622,2016,11,,,NW
312,Daisuke Sakuma,4584,,6271,235.0,,29.0,2016-11-11 09:00:00,120.0,,Sierra Pacific Sierra Pacific,,NW20161072,,29.0,2016-11-10 12:30:26,,235.0,OSTERMAN SCRAPS,48.436, -121.608,2016,11,Approved,2016-11-11 00:00:00,NW
313,Daisuke Sakuma,4313,,6907,259.0,,26.0,2016-11-11 09:00:00,90.0,,Sierra Pacific Sierra Pacific,,NW20161071,,2.0,2016-11-11 00:00:00,,99.0,106 N,48.580767, -122.038937,2016,11,,,NW
314,Warren Weston,4065,,6909,148.0,,17.0,2016-11-11 09:00:00,90.0,,Pilchuck Tree Farm Pilchuck Tree Farm,,NW20161058,,2.0,2016-11-11 00:00:00,,64.0,HECKER,48.28205, -122.108685,2016,11,,,NW
315,Lance vanderpool,3511,,6531,210.0,,127.0,2016-11-11 07:00:00,300.0,,Sierra Pacific Industries Sierra Pacific Industries,,PC20160298,,127.0,2016-11-10 07:25:20,,210.0,JEFFRIES ROAD RHE,46.655606, -123.087715,2016,11,Approved,2016-11-11 00:00:00,PC
316,,3411,,6349,43.0,,22.0,2016-11-11 09:30:00,5.0,,Carter Mountain Cattle Co Carter Mountain Cattle Co,,NE20160477,,22.0,2016-11-18 00:00:00,,43.0,CARTER MTN CATTLE,48.704662, -119.132674,2016,11,Approved,2016-11-18 00:00:00,NE
317,,3410,,6348,15.0,,24.0,2016-11-11 09:30:00,5.0,,Carol Devlin,,NE20160471,,24.0,2016-11-18 00:00:00,,15.0,,48.877914, -118.56052,2016,11,Approved,2016-11-18 00:00:00,NE
318,,5184,,7126,79.0,,98.0,2016-11-10 09:30:00,5.0,,Pope Resources Pope Resources,,OL20160277,,98.0,2016-11-17 00:00:00,,79.0,FRENCH FIRS,47.904045, -122.896106,2016,11,Approved,2016-11-17 00:00:00,OL
319,,5059,,7076,1.0,,15.0,2016-11-10 09:30:00,5.0,,Pope Resources Pope Resources,,OL20160276,,15.0,2016-11-17 00:00:00,,1.0,BEAVER FEAVER,47.903786, -122.725575,2016,11,Approved,2016-11-17 00:00:00,OL
320,,5058,,7066,28.0,,26.0,2016-11-10 09:30:00,5.0,,Pope Resources Pope Resources,,OL20160275,,26.0,2016-11-17 00:00:00,,28.0,CELLANIOD,48.020501, -122.810717,2016,11,Approved,2016-11-17 00:00:00,OL
321,,5057,,7065,14.0,,19.0,2016-11-10 09:30:00,5.0,,Pope Resources Pope Resources,,OL20160274,,19.0,2016-11-17 00:00:00,,14.0,HANSEN HOLLOW,47.802464, -122.750557,2016,11,Approved,2016-11-17 00:00:00,OL
322,,5056,,7064,47.0,,43.0,2016-11-10 09:30:00,5.0,,Pope Resources Pope Resources,,OL20160273,,43.0,2016-11-17 00:00:00,,47.0,LICKETY SPLIT,47.904045, -122.896106,2016,11,Approved,2016-11-17 00:00:00,OL
323,,5055,,7063,29.0,,61.0,2016-11-10 09:30:00,5.0,,Pope Resources Pope Resources,,OL20160272,,61.0,2016-11-17 00:00:00,,29.0,OVERFLOW,47.87499, -122.832737,2016,11,Approved,2016-11-17 00:00:00,OL
324,,5054,,7062,31.0,,29.0,2016-11-10 09:30:00,5.0,,Pope Resources Pope Resources,,OL20160271,,29.0,2016-11-17 00:00:00,,31.0,PARADISE CREEK,47.90395, -122.790084,2016,11,Approved,2016-11-17 00:00:00,OL
325,,5053,,7061,26.0,,67.0,2016-11-10 09:30:00,5.0,,Pope Resources Pope Resources,,OL20160270,,67.0,2016-11-17 00:00:00,,26.0,SNOWCONE,47.889549, -122.895785,2016,11,Approved,2016-11-17 00:00:00,OL
326,,5052,,7060,5.0,,46.0,2016-11-10 09:30:00,5.0,,Pope Resources Pope Resources,,OL20160269,,46.0,2016-11-17 00:00:00,,5.0,THE TWINS,47.875073, -122.853983,2016,11,Approved,2016-11-17 00:00:00,OL
327,,5051,,7059,41.0,,34.0,2016-11-10 09:30:00,5.0,,Pope Resources Pope Resources,,OL20160268,,34.0,2016-11-17 00:00:00,,41.0,HIGHWIRE,47.947513, -122.875282,2016,11,Approved,2016-11-17 00:00:00,OL
328,,5050,,7058,1.0,,5.0,2016-11-10 09:30:00,5.0,,Pope Resources Pope Resources,,OL20160267,,5.0,2016-11-17 00:00:00,,1.0,MISH MASH 2,48.035026, -122.810763,2016,11,Approved,2016-11-17 00:00:00,OL
329,,4998,,7057,91.0,,119.0,2016-11-10 09:30:00,5.0,,Pope Resources Pope Resources,,OL20160266,,119.0,2016-11-17 00:00:00,,91.0,BIG RED,47.947982, -122.832572,2016,11,Approved,2016-11-17 00:00:00,OL
330,,4997,,7056,52.0,,62.0,2016-11-10 09:30:00,5.0,,Pope Resources Pope Resources,,OL20160265,,62.0,2016-11-17 00:00:00,,52.0,FLAP JACK,47.932627, -122.832724,2016,11,Approved,2016-11-17 00:00:00,OL
331,,4996,,7055,33.0,,56.0,2016-11-10 09:30:00,5.0,,Pope Resources Pope Resources,,OL20160264,,56.0,2016-11-17 00:00:00,,33.0,GOOGAN,47.889422, -122.811528,2016,11,Approved,2016-11-17 00:00:00,OL
332,,4995,,7054,3.0,,10.0,2016-11-10 09:30:00,5.0,,Pope Resources Pope Resources,,OL20160263,,10.0,2016-11-17 00:00:00,,3.0,TICK TOCK,47.962518, -122.832522,2016,11,Approved,2016-11-17 00:00:00,OL
333,,4989,,7053,22.0,,43.0,2016-11-10 09:30:00,5.0,,Pope Resources Pope Resources,,OL20160257,,43.0,2016-11-17 00:00:00,,22.0,BLACKTAIL,47.918477, -122.832811,2016,11,Approved,2016-11-17 00:00:00,OL
334,,4988,,7052,35.0,,29.0,2016-11-10 09:30:00,5.0,,Pope Resources Pope Resources,,OL20160256,,29.0,2016-11-17 00:00:00,,35.0,SPRINGBOARD,47.903699, -122.919111,2016,11,Approved,2016-11-17 00:00:00,OL
335,,4987,,7051,34.0,,55.0,2016-11-10 09:30:00,5.0,,Pope Resources Pope Resources,,OL20160255,,55.0,2016-11-17 00:00:00,,34.0,BLACKJACK,47.846035, -122.853909,2016,11,Approved,2016-11-17 00:00:00,OL
336,GECHO CONSTRUCTION GECHO CONSTRUCTION,4769,,6890,30.0,,5.0,2016-11-10 09:30:00,5.0,,Gerry & Barbara Coppedge Trustees Gerry & Barbara Coppedge Trustees,,PC20160434,,5.0,2016-11-10 00:00:00,,30.0,COPPEDGE TRUSTEES,45.844882, -122.610312,2016,11,Approved,2016-11-10 00:00:00,PC
337,Frank Harkness,4681,,6910,175.0,,73.0,2016-11-10 09:00:00,90.0,,Dnr Dnr,,NW20161085,,35.0,2016-11-10 00:00:00,,87.0,SCHOOL BELL,48.868532, -122.189622,2016,11,,,NW
338,Jim Schleusner,4301,,6965,640.0,,71.0,2016-11-10 09:30:00,180.0,,Hancock Forest Management Hancock Forest Management,,SE20160097,,71.0,2016-11-09 08:09:54,,640.0,DOGFISH SK,45.905949, -121.311835,2016,11,Denied,2016-11-10 00:00:00,SE
339,Jim Schleusner,4300,,6966,347.0,,21.0,2016-11-10 13:00:00,120.0,,Hancock Forest Management Hancock Forest Management,,SE20160098,,21.0,2016-11-09 08:10:37,,347.0,SLINGSHOT YK,45.819137, -121.249614,2016,11,Denied,2016-11-10 00:00:00,SE
340,Warren Weston,4059,,6908,202.0,,15.0,2016-11-10 09:00:00,90.0,,Pilchuck Tree Farm Pilchuck Tree Farm,,NW20161052,,2.0,2016-11-10 00:00:00,,50.0,BIG LAKE,48.37849, -122.179255,2016,11,,,NW
341,charlie Hulstead,2972,,6608,30.0,,35.0,2016-11-10 09:30:00,5.0,,Glen Ruark,,NE20160498,,35.0,2016-11-18 00:00:00,,30.0,,47.52902, -117.05691,2016,11,Approved,2016-11-18 00:00:00,NE
342,,2971,,6607,30.0,,9.0,2016-11-10 09:30:00,5.0,,Chris Cornell,,NE20160497,,9.0,2016-11-18 00:00:00,,30.0,,47.620583, -117.207448,2016,11,Approved,2016-11-18 00:00:00,NE
343,,2970,,6606,30.0,,9.0,2016-11-10 09:30:00,5.0,,Andrew Bosak,,NE20160496,,9.0,2016-11-18 00:00:00,,30.0,,47.765428, -117.058214,2016,11,Approved,2016-11-18 00:00:00,NE
344,,2969,,6605,30.0,,9.0,2016-11-10 09:30:00,5.0,,Helen Hohrman,,NE20160495,,9.0,2016-11-18 00:00:00,,30.0,,47.543925, -117.422051,2016,11,Approved,2016-11-18 00:00:00,NE
345,,2968,,6604,30.0,,9.0,2016-11-10 09:30:00,5.0,,Ronald Leyde,,NE20160493,,9.0,2016-11-18 00:00:00,,30.0,,47.838439, -117.207482,2016,11,Approved,2016-11-18 00:00:00,NE
346,,2967,,6603,30.0,,9.0,2016-11-10 09:30:00,5.0,,Craig Keevey,,NE20160492,,9.0,2016-11-18 00:00:00,,30.0,,47.529141, -117.486444,2016,11,Approved,2016-11-18 00:00:00,NE
347,,2966,,6602,30.0,,9.0,2016-11-10 09:30:00,5.0,,Darrin Rose,,NE20160491,,9.0,2016-11-18 00:00:00,,30.0,,48.070784, -117.790381,2016,11,Approved,2016-11-18 00:00:00,NE
348,Tyler Edwards,2955,,7045,720.0,,96.0,2016-11-10 08:00:00,360.0,,Washington Department Of Natural Resources Washington Department Of Natural Resources,,OL20160230,,40.0,2016-11-08 09:05:13,,300.0,RUSTY TAILGATE UNIT 1,47.932243, -124.385698,2016,11,Denied,2016-11-10 00:00:00,OL
349,Jim Schleusner,4981,,7047,849.0,,98.0,2016-11-09 10:30:00,120.0,,Hancock Forest Managment Hancock Forest Managment,,SE20160039,,48.0,2016-11-08 09:11:18,,531.0,HANCOK BORDERLINE YK,46.12488, -121.291869,2016,11,Denied,2016-11-09 00:00:00,SE
350,Dan Holeman,4598,,6837,2.0,,9.0,2016-11-09 09:30:00,5.0,,Skyline Irrigation Association Skyline Irrigation Association,,NE20160487,,9.0,2016-11-16 00:00:00,,2.0,SKYLINE IRRIGATION ASSOCIATION,48.548415, -120.197927,2016,11,Approved,2016-11-16 00:00:00,NE
351,Eric Bieker,4497,,6687,277.0,,223.0,2016-11-09 07:00:00,240.0,,WESTERN PACIFIC TIMBER LLC WESTERN PACIFIC TIMBER LLC,,SE20160087,,223.0,2016-11-08 10:34:15,,277.0,ROSCOE,45.934249, -120.894923,2016,11,Denied,2016-11-09 00:00:00,SE
352,Jim Schleusner,4301,,7043,640.0,,71.0,2016-11-09 10:30:00,180.0,,Hancock Forest Management Hancock Forest Management,,SE20160097,,71.0,2016-11-08 09:04:15,,640.0,DOGFISH SK,45.905949, -121.311835,2016,11,Denied,2016-11-09 00:00:00,SE
353,Jim Schleusner,4300,,7046,347.0,,21.0,2016-11-09 13:30:00,120.0,,Hancock Forest Management Hancock Forest Management,,SE20160098,,21.0,2016-11-08 09:09:40,,347.0,SLINGSHOT YK,45.819137, -121.249614,2016,11,Denied,2016-11-09 00:00:00,SE
354,,4253,,6595,20.0,,3.0,2016-11-09 09:30:00,5.0,,Robert Mcgrew,,PC20160433,,3.0,2016-11-09 00:00:00,,20.0,R.MCGREW,45.585144, -122.259605,2016,11,Approved,2016-11-09 00:00:00,PC
355,Daisuke Sakuma,4073,,6895,250.0,,56.0,2016-11-09 09:00:00,90.0,,Sierra Pacific Sierra Pacific,,NW20163061,,2.0,2016-11-09 00:00:00,,50.0,HAYDEN VIEW,48.658, -122.006,2016,11,,,NW
356,Warren Weston,4059,,6864,202.0,,15.0,2016-11-09 09:00:00,90.0,,Pilchuck Tree Farm Pilchuck Tree Farm,,NW20161052,,2.0,2016-11-09 00:00:00,,50.0,BIG LAKE,48.37849, -122.179255,2016,11,,,NW
357,Greg Nesgoda,3451,,6522,222.0,,32.0,2016-11-09 09:00:00,300.0,,Rayonier Washington Timber Company Rayonier Washington Timber Company,,OL20160241,,32.0,2016-11-08 08:36:34,,222.0,,47.06108, -123.953859,2016,11,Approved,2016-11-09 00:00:00,OL
