Incident Name,Incident Number,Classification,Region,County,Final Total Acres,Type of Date,General Cause,Specific Cause,Specific Sub Cause,Date,Time
SWENSON SPOT,49,Classified,NORTHEAST,Spokane County,,First Attack,Miscellaneous,Burning material from auto (other than thrown),None,05/02/18,10:43
SWENSON SPOT,49,Classified,NORTHEAST,Spokane County,,Started,Miscellaneous,Burning material from auto (other than thrown),None,05/02/18,10:15
Tucannon,10,Classified,SOUTHEAST,Columbia County,,First Attack,Debris Burning,None,None,05/02/18,9:00
Tucannon,10,Classified,SOUTHEAST,Columbia County,,Started,Debris Burning,None,None,05/02/18,8:00
ALDER MINE,47,Classified,NORTHEAST,Okanogan County,,Started,Debris Burning,None,None,05/01/18,11:30
ALDER MINE,47,Classified,NORTHEAST,Okanogan County,,First Attack,Debris Burning,None,None,05/01/18,12:00
HIGH AND DRY,48,Classified,NORTHEAST,Stevens County,,Started,Debris Burning,None,None,05/01/18,17:30
RAVEN SONGS ROOST,1510,Other Agency,NORTHEAST,Okanogan County,,Started,Under Investigation,None,None,05/01/18,11:17
RONE HOLE,821,False Alarm,NORTHEAST,Okanogan County,,Started,Undetermined,None,None,05/01/18,15:23
AVALON,1509,Other Agency,NORTHEAST,Spokane County,,Started,Debris Burning,None,None,04/30/18,10:50
FA teanaway rd,802,False Alarm,SOUTHEAST,Kittitas County,,Started,Undetermined,None,None,04/30/18,13:24
FARWELL,820,False Alarm,NORTHEAST,Spokane County,,Started,Undetermined,None,None,04/30/18,14:25
Klickitat Springs,8,Classified,SOUTHEAST,Klickitat County,,Started,Debris Burning,None,None,04/29/18,16:00
Klickitat Springs,8,Classified,SOUTHEAST,Klickitat County,,First Attack,Debris Burning,None,None,04/29/18,17:15
VALLEY WESTSIDE,819,False Alarm,NORTHEAST,Stevens County,,Started,Undetermined,None,None,04/28/18,11:08
Big Sky,6,Classified,SOUTHEAST,Kittitas County,,Started,Debris Burning,None,None,04/27/18,16:14
Big Sky,6,Classified,SOUTHEAST,Kittitas County,,First Attack,Debris Burning,None,None,04/27/18,16:44
Merrit,7,Classified,SOUTHEAST,Chelan County,,Started,Miscellaneous,Power Line,None,04/27/18,18:15
Merrit,7,Classified,SOUTHEAST,Chelan County,,First Attack,Miscellaneous,Power Line,None,04/27/18,20:20
ROCK CUT,44,Classified,NORTHEAST,Stevens County,6,First Attack,Debris Burning,None,None,04/27/18,15:06
ROCK CUT,44,Classified,NORTHEAST,Stevens County,6,Started,Debris Burning,None,None,04/27/18,14:00
ROCKY VALLEY,42,Classified,NORTHEAST,Pend Oreille County,,Started,Debris Burning,None,None,04/27/18,12:00
ROCKY VALLEY,42,Classified,NORTHEAST,Pend Oreille County,,First Attack,Debris Burning,None,None,04/27/18,15:00
VALLEY VIEW RUN,43,Classified,NORTHEAST,Okanogan County,,Started,Debris Burning,None,None,04/27/18,16:00
VALLEY VIEW RUN,43,Classified,NORTHEAST,Okanogan County,,First Attack,Debris Burning,None,None,04/27/18,15:51
WA-MSF-018 POWERHOUSE - Glacier,1501,Other Agency,NORTHWEST,Whatcom County,,Started,Undetermined,None,None,04/27/18,15:09
WILLIAMS,45,Classified,NORTHEAST,Stevens County,,Started,Debris Burning,None,None,04/27/18,18:30
WILLIAMS,45,Classified,NORTHEAST,Stevens County,,First Attack,Debris Burning,None,None,04/27/18,19:17
Wooten Brush Pile,9,Classified,SOUTHEAST,Columbia County,,Started,Debris Burning,None,None,04/27/18,16:30
Wooten Brush Pile,9,Classified,SOUTHEAST,Columbia County,,First Attack,Debris Burning,None,None,04/27/18,18:50
1190 RD,6,Classified,PACIFIC CASC,Clark County,,Started,Recreation,Camper,Campfire,04/26/18,14:00
1190 RD,6,Classified,PACIFIC CASC,Clark County,,First Attack,Recreation,Camper,Campfire,04/26/18,14:32
GRIZZLY LOOP,41,Classified,NORTHEAST,Ferry County,,Started,Debris Burning,None,None,04/26/18,15:00
GRIZZLY LOOP,41,Classified,NORTHEAST,Ferry County,,First Attack,Debris Burning,None,None,04/26/18,15:29
Hanging Rock,5,Classified,SOUTHEAST,Klickitat County,,Started,Miscellaneous,Power Line,None,04/26/18,11:08
Hanging Rock,5,Classified,SOUTHEAST,Klickitat County,,First Attack,Miscellaneous,Power Line,None,04/26/18,11:11
RESERVATION,818,False Alarm,NORTHEAST,Ferry County,,Started,Undetermined,None,None,04/26/18,17:32
NIGHTHAWK,40,Classified,NORTHEAST,Okanogan County,,First Attack,Debris Burning,None,None,04/25/18,19:32
NIGHTHAWK,40,Classified,NORTHEAST,Okanogan County,,Started,Debris Burning,None,None,04/25/18,18:30
SKOK ROAD,39,Classified,NORTHEAST,Stevens County,,Started,Debris Burning,None,None,04/25/18,16:15
SKOK ROAD,39,Classified,NORTHEAST,Stevens County,,First Attack,Debris Burning,None,None,04/25/18,16:56
SPRING HUNTERS,37,Classified,NORTHEAST,Stevens County,,Started,Debris Burning,None,None,04/25/18,12:30
SPRING HUNTERS,37,Classified,NORTHEAST,Stevens County,,First Attack,Debris Burning,None,None,04/25/18,13:59
SPRING VALLEY,38,Classified,NORTHEAST,Pend Oreille County,,First Attack,Debris Burning,None,None,04/25/18,16:10
SPRING VALLEY,38,Classified,NORTHEAST,Pend Oreille County,,Started,Debris Burning,None,None,04/25/18,15:00
Weeknight,4,Classified,SOUTHEAST,Kittitas County,,First Attack,Recreation,Other,Other,04/25/18,9:03
BAKER ROAD,35,Classified,NORTHEAST,Pend Oreille County,,Started,Debris Burning,None,None,04/24/18,14:56
BAKER ROAD,35,Classified,NORTHEAST,Pend Oreille County,,First Attack,Debris Burning,None,None,04/24/18,15:17
ENGLERT RD,4,Classified,PACIFIC CASC,Cowlitz County,,Started,Miscellaneous,Power Line,None,04/24/18,13:41
ENGLERT RD,4,Classified,PACIFIC CASC,Cowlitz County,,First Attack,Miscellaneous,Power Line,None,04/24/18,14:20
GLORY SNAG,3,Classified,PACIFIC CASC,Cowlitz County,,Started,Debris Burning,None,None,04/24/18,12:30
GLORY SNAG,3,Classified,PACIFIC CASC,Cowlitz County,,First Attack,Debris Burning,None,None,04/24/18,12:30
HUNGRY HILL,817,False Alarm,NORTHEAST,Stevens County,,Started,Undetermined,None,None,04/24/18,14:09
MONUMENTAL BRAVO,36,Classified,NORTHEAST,Stevens County,,Started,Debris Burning,None,None,04/24/18,20:45
MONUMENTAL BRAVO,36,Classified,NORTHEAST,Stevens County,,First Attack,Debris Burning,None,None,04/24/18,20:30
OLD BLACK BEACH,33,Classified,NORTHEAST,Ferry County,,Started,Debris Burning,None,None,04/24/18,14:00
OLD BLACK BEACH,33,Classified,NORTHEAST,Ferry County,,First Attack,Debris Burning,None,None,04/24/18,14:27
SCHREINER ROAD,5,Classified,PACIFIC CASC,Lewis County,,Started,Debris Burning,None,None,04/24/18,17:25
SCHREINER ROAD,5,Classified,PACIFIC CASC,Lewis County,,First Attack,Debris Burning,None,None,04/24/18,18:24
SMITH CANYON,34,Classified,NORTHEAST,Okanogan County,,First Attack,Debris Burning,None,None,04/24/18,15:50
SMITH CANYON,34,Classified,NORTHEAST,Okanogan County,,Started,Debris Burning,None,None,04/24/18,15:00
Weeknight,4,Classified,SOUTHEAST,Kittitas County,,Started,Recreation,Other,Other,04/24/18,9:53
25N,816,False Alarm,NORTHEAST,Stevens County,,Started,Undetermined,None,None,04/23/18,19:00
BONANZA,601,Unclassified,PACIFIC CASC,Cowlitz County,,Started,Debris Burning,None,None,04/23/18,8:30
FINDLEY ECHO,46,Classified,NORTHEAST,Spokane County,,Started,Arson,Other,None,04/23/18,13:00
FINDLEY ECHO,46,Classified,NORTHEAST,Spokane County,,First Attack,Arson,Other,None,04/23/18,13:30
Lovers,3,Classified,SOUTHEAST,Klickitat County,,Started,Debris Burning,None,None,04/23/18,14:02
Lovers,3,Classified,SOUTHEAST,Klickitat County,,First Attack,Debris Burning,None,None,04/23/18,14:22
MCDOUGAL EDGE,30,Classified,NORTHEAST,Stevens County,,Started,Debris Burning,None,None,04/23/18,11:00
MCDOUGAL EDGE,30,Classified,NORTHEAST,Stevens County,,First Attack,Debris Burning,None,None,04/23/18,11:05
PIONEER,1,Classified,NORTHWEST,Skagit County,,Started,Debris Burning,None,None,04/23/18,17:24
PIONEER,1,Classified,NORTHWEST,Skagit County,,First Attack,Debris Burning,None,None,04/23/18,19:30
BONNEVILLE,32,Classified,NORTHEAST,Spokane County,,Started,Undetermined,None,None,04/22/18,17:45
BONNEVILLE,32,Classified,NORTHEAST,Spokane County,,First Attack,Undetermined,None,None,04/22/18,18:45
L1000 CAR FIRE,600,Unclassified,PACIFIC CASC,Clark County,,Started,Miscellaneous,Vehicle Fire,None,04/22/18,19:43
SOUTH BANK,31,Classified,NORTHEAST,Spokane County,,First Attack,Debris Burning,None,None,04/22/18,15:50
SOUTH BANK,31,Classified,NORTHEAST,Spokane County,,Started,Debris Burning,None,None,04/22/18,14:45
WEST DRAGOON,28,Classified,NORTHEAST,Spokane County,,First Attack,Debris Burning,None,None,04/22/18,16:00
WEST DRAGOON,28,Classified,NORTHEAST,Spokane County,,Started,Debris Burning,None,None,04/22/18,15:50
1100 BONFIRE,802,False Alarm,PACIFIC CASC,Clark County,,Started,Undetermined,None,None,04/21/18,20:00
RIMROCK PARK,27,Classified,NORTHEAST,Spokane County,,First Attack,Recreation,Camper,Campfire,04/21/18,14:45
TIMOTHY,26,Classified,NORTHEAST,Spokane County,,Started,Debris Burning,None,None,04/21/18,11:30
TIMOTHY,26,Classified,NORTHEAST,Spokane County,,First Attack,Debris Burning,None,None,04/21/18,12:15
TITUS CANYON,29,Classified,NORTHEAST,Stevens County,,Started,Miscellaneous,Power Line,None,04/21/18,15:30
TITUS CANYON,29,Classified,NORTHEAST,Stevens County,,First Attack,Miscellaneous,Power Line,None,04/21/18,17:00
BIG ROCK,23,Classified,NORTHEAST,Okanogan County,1.6,First Attack,Undetermined,None,None,04/20/18,9:38
BIG ROCK,23,Classified,NORTHEAST,Okanogan County,1.6,Started,Undetermined,None,None,04/20/18,9:30
MASON FIELD,25,Classified,NORTHEAST,Stevens County,,Started,Recreation,Camper,Campfire,04/20/18,15:28
MASON FIELD,25,Classified,NORTHEAST,Stevens County,,First Attack,Recreation,Camper,Campfire,04/20/18,15:41
NORTH ELLISFORDE,815,False Alarm,NORTHEAST,Okanogan County,,Started,Undetermined,None,None,04/20/18,14:31
RIMROCK PARK,27,Classified,NORTHEAST,Spokane County,,Started,Recreation,Camper,Campfire,04/20/18,23:00
SPRINGDALE HUNTERS,24,Classified,NORTHEAST,Stevens County,,First Attack,Debris Burning,None,None,04/20/18,14:43
SPRINGDALE HUNTERS,24,Classified,NORTHEAST,Stevens County,,Started,Debris Burning,None,None,04/20/18,14:09
DEER RIDGE,22,Classified,NORTHEAST,Okanogan County,1.5,Started,Debris Burning,None,None,04/19/18,14:00
DEER RIDGE,22,Classified,NORTHEAST,Okanogan County,1.5,First Attack,Debris Burning,None,None,04/19/18,15:35
MILE MARKER 25,2,Classified,PACIFIC CASC,Cowlitz County,,Started,Miscellaneous,Vehicle Fire,None,04/19/18,13:20
MILE MARKER 25,2,Classified,PACIFIC CASC,Cowlitz County,,First Attack,Miscellaneous,Vehicle Fire,None,04/19/18,13:24
FA Scorpion,801,False Alarm,SOUTHEAST,Kittitas County,,Started,Undetermined,None,None,04/18/18,14:15
SAND CAN TOO,814,False Alarm,NORTHEAST,Stevens County,,Started,Undetermined,None,None,04/17/18,11:58
SAND CAN,813,False Alarm,NORTHEAST,Stevens County,,Started,Undetermined,None,None,04/16/18,15:03
HORSE DRAW,21,Classified,NORTHEAST,Okanogan County,,Started,Debris Burning,None,None,04/14/18,12:30
HORSE DRAW,21,Classified,NORTHEAST,Okanogan County,,First Attack,Debris Burning,None,None,04/14/18,12:45
SHAFFER,1508,Other Agency,NORTHEAST,Stevens County,,Started,Debris Burning,None,None,04/14/18,12:53
CHOPAKA,20,Classified,NORTHEAST,Okanogan County,277,First Attack,Debris Burning,None,None,04/13/18,15:24
CHOPAKA,20,Classified,NORTHEAST,Okanogan County,277,Started,Debris Burning,None,None,04/13/18,15:00
ECHO PEAK,812,False Alarm,NORTHEAST,Stevens County,,Started,Undetermined,None,None,04/12/18,8:15
SWANSON,811,False Alarm,NORTHEAST,Okanogan County,,Started,Undetermined,None,None,04/11/18,8:22
LOWER BEVERLEY HILLS,19,Classified,NORTHEAST,Ferry County,,Started,Miscellaneous,Power Line,None,04/09/18,13:35
LOWER BEVERLEY HILLS,19,Classified,NORTHEAST,Ferry County,,First Attack,Miscellaneous,Power Line,None,04/09/18,14:53
ELLISFORDE,1507,Other Agency,NORTHEAST,Okanogan County,,Started,Miscellaneous,Structure Fire,None,04/04/18,16:16
REFRESHER,1506,Other Agency,NORTHEAST,Okanogan County,,Started,Debris Burning,None,None,04/04/18,11:15
ARDEN SOUTH,809,False Alarm,NORTHEAST,Stevens County,,Started,Undetermined,None,None,04/03/18,15:52
KAMIAKIN,18,Classified,NORTHEAST,Spokane County,,Started,Miscellaneous,Other,None,04/03/18,15:15
KAMIAKIN,18,Classified,NORTHEAST,Spokane County,,First Attack,Miscellaneous,Other,None,04/03/18,16:07
LONGFELLOW,17,Classified,NORTHEAST,Spokane County,,Started,Undetermined,None,None,04/03/18,13:30
LONGFELLOW,17,Classified,NORTHEAST,Spokane County,,First Attack,Undetermined,None,None,04/03/18,15:40
WILLIAMS NIGHT,810,False Alarm,NORTHEAST,Stevens County,,Started,Undetermined,None,None,04/03/18,20:00
EVANS CUTOFF,16,Classified,NORTHEAST,Stevens County,,Started,Debris Burning,None,None,04/02/18,15:30
EVANS CUTOFF,16,Classified,NORTHEAST,Stevens County,,First Attack,Debris Burning,None,None,04/02/18,16:05
MCCOOL BLAZE,14,Classified,NORTHEAST,Ferry County,,Started,Debris Burning,None,None,04/02/18,14:30
MCCOOL BLAZE,14,Classified,NORTHEAST,Ferry County,,First Attack,Debris Burning,None,None,04/02/18,15:07
OLD HIGHWAY 12,808,False Alarm,NORTHEAST,Stevens County,,Started,Undetermined,None,None,04/02/18,8:34
TEEL HILL,15,Classified,NORTHEAST,Lincoln County,,Started,Debris Burning,None,None,04/02/18,13:00
TEEL HILL,15,Classified,NORTHEAST,Lincoln County,,First Attack,Debris Burning,None,None,04/02/18,14:52
MAHONEY,12,Classified,NORTHEAST,Stevens County,,First Attack,Debris Burning,None,None,04/01/18,15:30
MAHONEY,12,Classified,NORTHEAST,Stevens County,,Started,Debris Burning,None,None,04/01/18,15:00
BIGELOW HILL,13,Classified,NORTHEAST,Spokane County,,Started,Miscellaneous,Burning material from auto (other than thrown),None,03/31/18,13:45
BIGELOW HILL,13,Classified,NORTHEAST,Spokane County,,First Attack,Miscellaneous,Burning material from auto (other than thrown),None,03/31/18,14:30
CORNWALL,1505,Other Agency,NORTHEAST,Spokane County,,Started,Debris Burning,None,None,03/31/18,14:30
SALTESE EXTENSION,806,False Alarm,NORTHEAST,Spokane County,,Started,Undetermined,None,None,03/31/18,12:00
CEDONIA,11,Classified,NORTHEAST,Stevens County,,Started,Debris Burning,None,None,03/30/18,14:00
CEDONIA,11,Classified,NORTHEAST,Stevens County,,First Attack,Debris Burning,None,None,03/30/18,15:24
CEDONIA DOUBLE,807,False Alarm,NORTHEAST,Stevens County,,Started,Undetermined,None,None,03/30/18,15:18
LINKE CHAP,1504,Other Agency,NORTHEAST,Spokane County,,Started,Debris Burning,None,None,03/30/18,11:56
GEORGE,1503,Other Agency,NORTHEAST,Okanogan County,,Started,Debris Burning,None,None,03/29/18,14:00
SWISS VALLEY,10,Classified,NORTHEAST,Stevens County,,Started,Under Investigation,None,None,03/29/18,14:00
SWISS VALLEY,10,Classified,NORTHEAST,Stevens County,,First Attack,Under Investigation,None,None,03/29/18,14:50
BISBEE HIKE,9,Classified,NORTHEAST,Ferry County,,First Attack,Recreation,Hunter,Campfire,03/28/18,16:17
HAWKS NEST,8,Classified,NORTHEAST,Lincoln County,,Started,Debris Burning,None,None,03/28/18,13:00
HAWKS NEST,8,Classified,NORTHEAST,Lincoln County,,First Attack,Debris Burning,None,None,03/28/18,15:17
OLD DELAWARE,805,False Alarm,NORTHEAST,Stevens County,,Started,Undetermined,None,None,03/28/18,14:04
BASE COLVILLE,804,False Alarm,NORTHEAST,Stevens County,,Started,Undetermined,None,None,03/27/18,14:03
Benson Rock,2,Classified,SOUTHEAST,Yakima County,,Started,Miscellaneous,Power Line,None,03/27/18,12:00
Benson Rock,2,Classified,SOUTHEAST,Yakima County,,First Attack,Miscellaneous,Power Line,None,03/27/18,12:15
HIGHLAND LOOP,7,Classified,NORTHEAST,Stevens County,,Started,Debris Burning,None,None,03/25/18,15:20
HIGHLAND LOOP,7,Classified,NORTHEAST,Stevens County,,First Attack,Debris Burning,None,None,03/25/18,15:34
King's Landing,1,Classified,SOUTHEAST,Kittitas County,,Started,Under Investigation,None,None,03/25/18,15:01
King's Landing,1,Classified,SOUTHEAST,Kittitas County,,First Attack,Under Investigation,None,None,03/25/18,13:37
BISBEE HIKE,9,Classified,NORTHEAST,Ferry County,,Started,Recreation,Hunter,Campfire,03/24/18,14:00
GUNNING ROAD,1502,Other Agency,NORTHEAST,Lincoln County,,Started,Debris Burning,None,None,03/21/18,12:16
IMMEL ROAD ,803,False Alarm,NORTHEAST,Stevens County,,Started,Undetermined,None,None,03/21/18,15:52
MORRILL,1501,Other Agency,NORTHEAST,Spokane County,,Started,Debris Burning,None,None,03/21/18,11:32
7 LAKES,6,Classified,NORTHEAST,Okanogan County,,Started,Debris Burning,None,None,03/20/18,12:30
7 LAKES,6,Classified,NORTHEAST,Okanogan County,,First Attack,Debris Burning,None,None,03/20/18,13:50
ALLEN,802,False Alarm,NORTHEAST,Pend Oreille County,,Started,Undetermined,None,None,03/19/18,16:30
CENTRAL HARRIS,5,Classified,NORTHEAST,Okanogan County,,Started,Recreation,Day Use,Campfire,03/18/18,11:30
CENTRAL HARRIS,5,Classified,NORTHEAST,Okanogan County,,First Attack,Recreation,Day Use,Campfire,03/18/18,11:45
CHAPMAN,3,Classified,NORTHEAST,Spokane County,,First Attack,Debris Burning,None,None,03/13/18,17:26
CHAPMAN,3,Classified,NORTHEAST,Spokane County,,Started,Debris Burning,None,None,03/13/18,17:21
165-8100 RD,801,False Alarm,PACIFIC CASC,Cowlitz County,,Started,Undetermined,None,None,03/12/18,21:30
FALSE 97,801,False Alarm,NORTHEAST,Okanogan County,,Started,Undetermined,None,None,03/12/18,20:30
GIBBS SPOT,4,Classified,NORTHEAST,Spokane County,,Started,Miscellaneous,Burning material from auto (other than thrown),None,03/12/18,14:30
GIBBS SPOT,4,Classified,NORTHEAST,Spokane County,,First Attack,Miscellaneous,Burning material from auto (other than thrown),None,03/12/18,18:00
LIVINGSTON COURT,800,False Alarm,PACIFIC CASC,Clark County,,Started,Undetermined,None,None,03/12/18,9:46
RATHBUN,2,Classified,SO PUGET,Thurston County,,Started,Debris Burning,None,None,03/12/18,14:54
RATHBUN,2,Classified,SO PUGET,Thurston County,,First Attack,Debris Burning,None,None,03/12/18,15:00
WILDWOOD,1,Classified,PACIFIC CASC,Lewis County,,First Attack,Miscellaneous,Fireworks other than children,None,03/12/18,18:30
WILDWOOD,1,Classified,PACIFIC CASC,Lewis County,,Started,Miscellaneous,Fireworks other than children,None,03/12/18,13:19
BURBANK,1500,Other Agency,SOUTHEAST,Kittitas County,,Started,Undetermined,None,None,03/11/18,14:10
HARRIS MOUNTAIN,2,Classified,NORTHEAST,Okanogan County,,Started,Debris Burning,None,None,03/10/18,16:35
HARRIS MOUNTAIN,2,Classified,NORTHEAST,Okanogan County,,First Attack,Debris Burning,None,None,03/10/18,17:30
OMAK RIVERSIDE PILE,800,False Alarm,NORTHEAST,Okanogan County,,Started,Undetermined,None,None,02/27/18,10:38
TINY WHISKY,600,Unclassified,NORTHEAST,Okanogan County,,Started,Debris Burning,None,None,02/16/18,10:13
LITTLE PICKENS ,601,Unclassified,NORTHEAST,Okanogan County,,Started,Debris Burning,None,None,02/15/18,13:20
EAST ALLEN,1,Classified,NORTHEAST,Pend Oreille County,,First Attack,Debris Burning,None,None,02/12/18,14:24
EAST ALLEN,1,Classified,NORTHEAST,Pend Oreille County,,Started,Debris Burning,None,None,02/12/18,13:00
FA Beek,800,False Alarm,SOUTHEAST,Klickitat County,,Started,Undetermined,None,None,02/08/18,15:34
NEWBY CREEK ,1500,Other Agency,NORTHEAST,Okanogan County,,Started,Undetermined,None,None,02/08/18,14:56
LAKE CHRISTINE,1,Classified,SO PUGET,Mason County,,Started,Recreation,Day Use,Campfire,02/07/18,11:54
LAKE CHRISTINE,1,Classified,SO PUGET,Mason County,,First Attack,Recreation,Day Use,Campfire,02/07/18,14:00
HYYTIAINEN ,1079,False Alarm,NORTHEAST,Stevens County,,Started,Undetermined,None,None,12/22/17,11:27
HAM RD,111,Classified,PACIFIC CASC,Cowlitz County,,First Attack,Debris Burning,None,None,12/14/17,20:20
HAM RD,111,Classified,PACIFIC CASC,Cowlitz County,,Started,Debris Burning,None,None,12/14/17,22:30
Mossyrock Processor,627,Unclassified,PACIFIC CASC,Lewis County,,Started,Logging,Equipment Burning,None,12/12/17,12:02
31241,29,Classified,OLYMPIC,Clallam County,,Started,Debris Burning,None,None,12/11/17,14:31
31241,29,Classified,OLYMPIC,Clallam County,,First Attack,Debris Burning,None,None,12/11/17,15:00
SHIRLEY GORDON,628,Unclassified,PACIFIC CASC,Cowlitz County,,Started,Debris Burning,None,None,12/11/17,18:00
POWERS,391,Classified,NORTHEAST,Stevens County,,Started,Miscellaneous,Structure Fire,None,12/07/17,17:30
POWERS,391,Classified,NORTHEAST,Stevens County,,First Attack,Miscellaneous,Structure Fire,None,12/07/17,18:23
DUNKIN BLUE,1077,False Alarm,NORTHEAST,Stevens County,,Started,Undetermined,None,None,12/05/17,9:08
GRAY ROAD,1078,False Alarm,NORTHEAST,Stevens County,,Started,Undetermined,None,None,12/05/17,12:32
LAKE CITY,1076,False Alarm,NORTHEAST,Stevens County,,Started,Undetermined,None,None,12/04/17,11:09
HALLER PILE,390,Classified,NORTHEAST,Stevens County,,Started,Undetermined,None,None,11/20/17,9:00
HALLER PILE,390,Classified,NORTHEAST,Stevens County,,First Attack,Undetermined,None,None,11/20/17,10:25
SCOTTS,389,Classified,NORTHEAST,Stevens County,,First Attack,Arson,Other,None,11/20/17,9:21
SCOTTS,389,Classified,NORTHEAST,Stevens County,,Started,Arson,Other,None,11/20/17,7:30
ROSE VALLEY BURN,626,Unclassified,PACIFIC CASC,Cowlitz County,,Started,Debris Burning,None,None,11/11/17,17:00
BECKER FLATS,1075,False Alarm,NORTHEAST,Stevens County,,Started,Undetermined,None,None,11/08/17,8:00
ARDEN BUTTE,388,Classified,NORTHEAST,Stevens County,,First Attack,Debris Burning,None,None,11/07/17,8:51
DUNCAN HINDSIGHT,1073,False Alarm,NORTHEAST,Stevens County,,Started,Undetermined,None,None,11/07/17,13:12
OLD ARDEN,1074,False Alarm,NORTHEAST,Stevens County,,Started,Undetermined,None,None,11/07/17,13:37
ARDEN BUTTE,388,Classified,NORTHEAST,Stevens County,,Started,Debris Burning,None,None,11/06/17,9:00
HEMLOCK,109,Classified,PACIFIC CASC,Lewis County,,First Attack,Recreation,Other,Campfire,11/01/17,12:53
HEMLOCK,109,Classified,PACIFIC CASC,Lewis County,,Started,Recreation,Other,Campfire,11/01/17,12:53
MORAN SLIDE,1070,False Alarm,NORTHEAST,Stevens County,,Started,Undetermined,None,None,11/01/17,9:23
Monitor,125,Classified,SOUTHEAST,Chelan County,,Started,Under Investigation,None,None,11/01/17,11:09
Monitor,125,Classified,SOUTHEAST,Chelan County,,First Attack,Under Investigation,None,None,11/01/17,11:12
PARK ROAD,1072,False Alarm,NORTHEAST,Spokane County,,Started,Undetermined,None,None,11/01/17,17:01
Rock Springs,120,Classified,SOUTHEAST,Klickitat County,,Started,Debris Burning,None,None,11/01/17,2:01
Rock Springs,120,Classified,SOUTHEAST,Klickitat County,,First Attack,Debris Burning,None,None,11/01/17,2:04
SILVER BEACH,387,Classified,NORTHEAST,Stevens County,,Started,Debris Burning,None,None,11/01/17,15:20
SILVER BEACH,387,Classified,NORTHEAST,Stevens County,,First Attack,Debris Burning,None,None,11/01/17,15:49
Burdoin,119,Classified,SOUTHEAST,Klickitat County,,Started,Undetermined,None,None,10/31/17,21:42
CEDAR SNAG,386,Classified,NORTHEAST,Stevens County,,Started,Debris Burning,None,None,10/31/17,13:00
CEDAR SNAG,386,Classified,NORTHEAST,Stevens County,,First Attack,Debris Burning,None,None,10/31/17,16:30
Mountain View,123,Classified,SOUTHEAST,Asotin County,,Started,Recreation,Camper,Campfire,10/31/17,15:25
Mountain View,123,Classified,SOUTHEAST,Asotin County,,First Attack,Recreation,Camper,Campfire,10/31/17,16:30
SNAIL,108,Classified,PACIFIC CASC,Pacific County,,First Attack,Debris Burning,None,None,10/31/17,8:00
Slash,124,Classified,SOUTHEAST,Yakima County,,Started,Debris Burning,None,None,10/31/17,15:01
Slash,124,Classified,SOUTHEAST,Yakima County,,First Attack,Debris Burning,None,None,10/31/17,15:08
22 E,28,Classified,OLYMPIC,Clallam County,,Started,Debris Burning,None,None,10/30/17,10:29
22 E,28,Classified,OLYMPIC,Clallam County,,First Attack,Debris Burning,None,None,10/30/17,10:29
Carmack,118,Classified,SOUTHEAST,Yakima County,,Started,Recreation,Hunter,Campfire,10/30/17,12:43
Carmack,118,Classified,SOUTHEAST,Yakima County,,First Attack,Recreation,Hunter,Campfire,10/30/17,16:15
FALSE PINE BLUFF,1066,False Alarm,NORTHEAST,Spokane County,,Started,Undetermined,None,None,10/30/17,10:21
GOLD CREEK 2,1067,False Alarm,NORTHEAST,Stevens County,,Started,Undetermined,None,None,10/30/17,12:49
HUCK,1069,False Alarm,NORTHEAST,Stevens County,,Started,Undetermined,None,None,10/30/17,9:42
INDEPENDANCE RD,107,Classified,PACIFIC CASC,Lewis County,,Started,Debris Burning,None,None,10/30/17,18:00
INDEPENDANCE RD,107,Classified,PACIFIC CASC,Lewis County,,First Attack,Debris Burning,None,None,10/30/17,22:00
Little Caribou,117,Classified,SOUTHEAST,Kittitas County,,First Attack,Recreation,Hunter,Campfire,10/30/17,2:00
PARRY MILAN,384,Classified,NORTHEAST,Spokane County,,First Attack,Debris Burning,None,None,10/30/17,15:58
RAMONA SPOT,324,Classified,NORTHEAST,Spokane County,,Started,Debris Burning,None,None,10/30/17,9:30
RAMONA SPOT,324,Classified,NORTHEAST,Spokane County,,First Attack,Debris Burning,None,None,10/30/17,10:55
RICHIE SPOT,385,Classified,NORTHEAST,Spokane County,,First Attack,Undetermined,None,None,10/30/17,17:55
RICHIE SPOT,385,Classified,NORTHEAST,Spokane County,,Started,Undetermined,None,None,10/30/17,16:30
RIVER ESTATES,383,Classified,NORTHEAST,Spokane County,,First Attack,Debris Burning,None,None,10/30/17,12:50
RIVERSIDE,106,Classified,PACIFIC CASC,Skamania County,,First Attack,Miscellaneous,Power Line,None,10/30/17,9:28
RIVERSIDE,106,Classified,PACIFIC CASC,Skamania County,,Started,Miscellaneous,Power Line,None,10/30/17,9:16
SANDY POINT,1508,Other Agency,NORTHWEST,Whatcom County,,Started,Debris Burning,None,None,10/30/17,2:30
SNAIL,108,Classified,PACIFIC CASC,Pacific County,,Started,Debris Burning,None,None,10/30/17,13:00
5800,26,Classified,OLYMPIC,Clallam County,,Started,Debris Burning,None,None,10/29/17,14:00
5800,26,Classified,OLYMPIC,Clallam County,,First Attack,Debris Burning,None,None,10/29/17,16:09
HWY 104,27,Classified,OLYMPIC,Jefferson County,,First Attack,Debris Burning,None,None,10/29/17,18:51
HWY 104,27,Classified,OLYMPIC,Jefferson County,,Started,Debris Burning,None,None,10/29/17,18:06
