OBJECTID,FIREEVENT_ID,INCIDENT_NO,INCIDENT_NM,INCIDENT_ID,COUNTY_LABEL_NM,FIRE_TWP_WHOLE_NO,FIRE_TWP_FRACT_NO,FIRE_RGE_WHOLE_NO,FIRE_RGE_FRACT_NO,FIRE_RGE_DIR_FLG,FIRE_SECT_NO,SITE_ELEV,FIREGCAUSE_LABEL_NM,FIRESCAUSE_LABEL_NM,BURNESCAPE_RSN_LABEL_NM,ACRES_BURNED,START_DT,START_TM,DSCVR_DT,DSCVR_TM,CONTROL_DT,CONTROL_TM,FIRE_OUT_DT,FIRE_OUT_TM,BURN_MERCH_AREA,BURN_REPROD_AREA,BURN_NONSTOCK_AREA,FIREEVNT_CLASS_CD,FIREEVNT_CLASS_LABEL_NM,SECTION_SUBDIV_PTS_ID,LAT_COORD,LON_COORD,RES_ORDER_NO,NON_DNR_RES_ORDER_NO,START_OWNER_AGENCY_NM,START_JURISDICTION_AGENCY_NM,SHAPE,PROTECTION_TYPE,REGION_NAME
12635,28043,803,OLSON CREEK,27765,WHATCOM,38,0,4,0,E,29,<Null>,Undetermined,None,<Null>,0,7/10/12,1258,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,3,False Alarm,445019,48.752874,-122.322406,<Null>,<Null>,<Null>,<Null>,Point,<Null>,NORTHWEST
13053,28859,32,APPLE CREEK,28581,COWLITZ,8,0,4,0,W,12,825,Debris Burn,None,Other,0.25,7/10/12,1615,7/10/12,1616,7/10/12,1711,7/20/12,1200,0.25,<Null>,<Null>,1,Classified,524527,46.1945,-123.11904,WA-PCS-0032,<Null>,Private,DNR,Point,DNR Protection FFPA,PACIFIC CASC
16490,28263,111,BEAR LAKE,27966,SPOKANE,28,0,43,0,E,25,1709,Children,Children 10+,<Null>,0.01,7/10/12,1300,7/10/12,1325,7/10/12,1400,7/17/12,1034,<Null>,<Null>,<Null>,1,Classified,563148,47.90168,-117.32333,<Null>,<Null>,Private,DNR,Point,DNR Protection FFPA,NORTHEAST
4428,28042,112,SKEELS ROAD,27764,STEVENS,34,0,39,0,E,29,2670,Lightning,None,<Null>,2.3,7/10/12,400,7/10/12,1230,7/11/12,1300,7/23/12,1747,2.3,<Null>,<Null>,1,Classified,734715,48.41456,-117.92557,WA-NES-410,<Null>,DNR,DNR,Point,DNR Protection FFPA,NORTHEAST
12759,29316,609,MC DONALD,28958,COWLITZ,10,0,1,0,E,10,<Null>,Debris Burn,None,Other,0.1,7/11/12,946,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,2,Unclassified,545818,46.365592,-122.667508,WA-PCS-0609,<Null>,<Null>,<Null>,Point,Threat To DNR Protection FFPA Land,PACIFIC CASC
9434,28121,814,FALSE ALARM - YAKIMA CANYON,27842,YAKIMA,15,0,19,0,E,33,<Null>,Undetermined,None,<Null>,0,7/11/12,1325,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,3,False Alarm,394494,46.745094,-120.455506,WA-SES-158,<Null>,<Null>,<Null>,Point,<Null>,SOUTHEAST
15394,28406,830,FALSE ALARM - AHTANUM,28113,YAKIMA,12,0,15,0,E,28,<Null>,Undetermined,None,<Null>,0,7/11/12,1350,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,3,False Alarm,945053,46.502068,-120.956857,WA-SES-159,<Null>,<Null>,<Null>,Point,<Null>,SOUTHEAST
11792,28075,113,BOX SPRING,27797,OKANOGAN,39,0,28,0,E,28,3700,Miscellaneou,Structure Fi,<Null>,0.25,7/11/12,1805,7/11/12,1755,7/11/12,2330,7/20/12,1200,0.25,<Null>,<Null>,1,Classified,1162587,48.84883,-119.31742,WA-NES-418,<Null>,Private,WA Fire Service,Point,DNR Protection FFPA,NORTHEAST
12891,28526,33,SHANNON LEWIS LN,28208,LEWIS,12,0,2,0,W,28,500,Recreation,Other,<Null>,0.1,7/11/12,1839,7/11/12,1839,7/11/12,2300,8/10/12,1100,<Null>,<Null>,<Null>,1,Classified,834018,46.49082,-122.94702,WA-PCS-0033,<Null>,Private,DNR,Point,DNR Protection FFPA,PACIFIC CASC
19248,28041,8,WHITE ROCK PIT,27763,PIERCE,16,0,5,0,E,34,2170,Recreation,Camper,<Null>,0.01,7/11/12,1305,7/11/12,1200,7/11/12,1320,7/12/12,1200,<Null>,<Null>,<Null>,1,Classified,107815,46.827798,-122.161256,WA-SPS-008,<Null>,DNR,DNR,Point,DNR Protection FFPA,SO PUGET
8696,28074,883,LEMANSKY,27796,OKANOGAN,37,0,26,0,E,26,<Null>,Undetermined,None,<Null>,0,7/12/12,1202,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,3,False Alarm,1026967,48.67801,-119.52415,<Null>,<Null>,<Null>,<Null>,Point,<Null>,NORTHEAST
2243,28122,815,FALSE ALARM - LIBERTY,27843,KITTITAS,20,0,20,0,E,3,<Null>,Undetermined,None,<Null>,0,7/12/12,1620,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,3,False Alarm,1154296,47.254156,-120.311895,WA-SES-168,<Null>,<Null>,<Null>,Point,<Null>,SOUTHEAST
12558,28069,881,SWEAT CREEK,27791,OKANOGAN,37,0,31,0,E,28,<Null>,Undetermined,None,<Null>,0,7/12/12,920,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,3,False Alarm,373492,48.68088,-118.90525,<Null>,<Null>,<Null>,<Null>,Point,<Null>,NORTHEAST
12166,28073,882,LONGHORN HAZE,27795,OKANOGAN,35,0,29,0,E,33,<Null>,Undetermined,None,<Null>,0,7/12/12,1050,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,3,False Alarm,312978,48.48349,-119.21509,<Null>,<Null>,<Null>,<Null>,Point,<Null>,NORTHEAST
13536,28072,880,SAGE ROAD,27794,FERRY,37,0,32,0,E,4,<Null>,Undetermined,None,<Null>,0,7/12/12,853,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,3,False Alarm,457312,48.73171,-118.77844,<Null>,<Null>,<Null>,<Null>,Point,<Null>,NORTHEAST
6891,28079,9,WOODLAND,27798,MASON,20,0,4,0,W,12,249,Miscellaneou,Fireworks,<Null>,0.1,7/12/12,930,7/12/12,1800,7/12/12,1800,7/14/12,1730,<Null>,<Null>,<Null>,1,Classified,729789,47.237629,-123.130005,WA-SPS-009,<Null>,Private,DNR,Point,DNR Protection FFPA,SO PUGET
13559,28219,118,HAY STRIKE,27915,SPOKANE,28,0,44,0,E,36,3110,Lightning,None,<Null>,0.01,7/12/12,2313,7/13/12,745,7/13/12,1600,7/22/12,1243,0.01,<Null>,<Null>,1,Classified,704080,47.8794,-117.19392,WA-NES-433,<Null>,Other Government,DNR,Point,DNR Protection FFPA,NORTHEAST
17597,28142,47,BOX RUN 2,27863,KLICKITAT,6,0,18,0,E,26,3400,Lightning,None,<Null>,0.7,7/12/12,2110,7/13/12,750,7/13/12,1050,7/21/12,1535,0.7,<Null>,<Null>,1,Classified,1054764,45.976,-120.521238,WA-SES-169,<Null>,Private,DNR,Point,DNR Protection FFPA,SOUTHEAST
16950,28467,114,TYLER EXIT,28153,SPOKANE,23,0,40,0,E,28,2270,Miscellaneou,Burnin Mater,<Null>,1.9,7/12/12,1020,7/12/12,1022,7/12/12,1830,7/22/12,1310,1.9,<Null>,<Null>,1,Classified,780084,47.45145,-117.77119,WA-NES-426,<Null>,Private,DNR,Point,DNR Protection FFPA,NORTHEAST
18800,28144,49,FOSTER CREEK,27865,DOUGLAS,28,0,25,0,E,1,<Null>,Lightning,None,<Null>,1291,7/12/12,1454,7/12/12,2200,7/18/12,600,10/17/12,1200,<Null>,<Null>,<Null>,1,Classified,1136390,47.953497,-119.631557,WA-SES-184,<Null>,Other Government,DNR,Point,DNR Protection FFPA,SOUTHEAST
17414,28425,116,SCOTT STRIKE,28132,STEVENS,28,0,40,0,E,25,2190,Lightning,None,<Null>,0.01,7/12/12,2300,7/13/12,745,7/13/12,900,7/21/12,1057,0.01,<Null>,<Null>,1,Classified,1087476,47.89446,-117.70521,<Null>,<Null>,Private,DNR,Point,DNR Protection FFPA,NORTHEAST
5233,28141,46,GREENS CANYON,27862,DOUGLAS,26,0,22,0,E,11,800,Miscellaneou,Other,<Null>,71,7/12/12,1530,7/12/12,1500,7/12/12,2300,7/22/12,1430,<Null>,<Null>,<Null>,1,Classified,719735,47.764841,-120.039755,WA-SES-167,<Null>,Private,DNR,Point,DNR Protection FFPA,SOUTHEAST
3929,28143,48,QUILOMENE,27864,KITTITAS,19,0,22,0,E,5,2000,Lightning,None,<Null>,157,7/12/12,2345,7/12/12,2345,7/14/12,757,7/22/12,1200,<Null>,<Null>,<Null>,1,Classified,874458,47.166464,-120.100906,WA-SES-170,<Null>,Other Government,DNR,Point,DNR Protection FFPA,SOUTHEAST
2835,28344,117,FORTYMILE CANYON,28046,STEVENS,29,0,41,0,E,19,3000,Lightning,None,<Null>,6.5,7/12/12,2300,7/13/12,1340,7/14/12,1000,7/26/12,1745,6.5,<Null>,<Null>,1,Classified,997321,47.99951,-117.69031,WA-NES-449,<Null>,Private,DNR,Point,DNR Protection FFPA,NORTHEAST
3050,28140,45,STUMP,27861,YAKIMA,12,0,14,0,E,26,3539,Recreation,Day Use,<Null>,0.01,7/12/12,1007,7/12/12,1007,7/12/12,1300,7/14/12,1414,<Null>,<Null>,0.01,1,Classified,495946,46.502058,-121.039642,WA-SES-164,<Null>,DNR,DNR,Point,DNR Protection FFPA,SOUTHEAST
8458,28203,115,STENTZ TWO,27905,SPOKANE,23,0,43,0,E,5,2250,Arson,Other,<Null>,0.1,7/12/12,1215,7/12/12,1220,7/12/12,1315,7/19/12,1328,<Null>,<Null>,<Null>,1,Classified,757187,47.51994,-117.38702,<Null>,<Null>,Private,DNR,Point,DNR Protection FFPA,NORTHEAST
2438,29318,611,CEDAR FLATS,28960,THURSTON,18,0,3,0,W,24,<Null>,Debris Burn,None,Other,0.1,7/13/12,1602,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,2,Unclassified,264501,47.032376,-123.002598,WA-PCS-0611,<Null>,<Null>,<Null>,Point,Threat To DNR Protection FFPA Land,PACIFIC CASC
14136,29317,610,CREEKSIDE,28959,COWLITZ,9,0,4,0,W,4,<Null>,Recreation,Other,<Null>,0.1,7/13/12,1204,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,2,Unclassified,483121,46.291358,-123.185104,WA-PCS-0610,<Null>,<Null>,<Null>,Point,Threat To DNR Protection FFPA Land,PACIFIC CASC
7482,28252,631,EIGHTH RIDGE,27954,STEVENS,32,0,40,0,E,11,<Null>,Children,Children 10+,<Null>,0.1,7/13/12,1750,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,2,Unclassified,95927,48.28262,-117.72911,<Null>,<Null>,<Null>,<Null>,Point,Threat To DNR Protection FFPA Land,NORTHEAST
9035,28358,1507,PROSPECT,28060,OKANOGAN,30,0,22,0,E,10,0,Lightning,None,<Null>,0.1,7/13/12,813,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,4,Other Agency,562255,48.10807,-120.06591,<Null>,<Null>,US Dept of Fish and Wildlife,US Forest Service,Point,DNR Assist Other Agency,NORTHEAST
9103,28502,1510,LONE PINE,28184,LINCOLN,25,0,35,0,E,22,0,Lightning,None,<Null>,5.1,7/13/12,1319,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,4,Other Agency,650359,47.65145,-118.37972,<Null>,WA-SPD-446,Bureau Of Land Management,Bureau Of Land Management,Point,DNR Assist Other Agency,NORTHEAST
2553,28353,1506,OLD MILL,28055,OKANOGAN,30,0,22,0,E,4,0,Lightning,None,<Null>,2.9,7/13/12,1107,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,4,Other Agency,1034300,48.12993,-120.08763,WA-NES-443,WA-OWF-178,US Forest Service,US Forest Service,Point,DNR Assist Other Agency,NORTHEAST
2216,28615,1501,SEFRIT,28344,WHATCOM,39,0,9,0,E,10,0,Lightning,None,<Null>,0.01,7/13/12,1500,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,4,Other Agency,1060089,48.882778,-121.618396,<Null>,WA-MSF-007,US Forest Service,US Forest Service,Point,DNR Assist Other Agency,NORTHWEST
718,28508,1508,END MOUNTAIN,28190,OKANOGAN,31,0,22,0,E,29,0,Lightning,None,<Null>,1,7/13/12,1602,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,4,Other Agency,226196,48.15558,-120.10909,<Null>,<Null>,US Forest Service,US Forest Service,Point,DNR Assist Other Agency,NORTHEAST
18872,28337,1503,BASALT CAMP,28039,PEND OREILLE,40,0,43,0,E,29,0,Recreation,Camper,<Null>,0.01,7/13/12,801,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,4,Other Agency,1137996,48.93336,-117.39186,<Null>,<Null>,US Forest Service,US Forest Service,Point,DNR Assist Other Agency,NORTHEAST
7310,28352,1504,HUNGRY HUNTER,28054,OKANOGAN,30,0,22,0,E,10,<Null>,Lightning,None,<Null>,0.1,7/13/12,813,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,4,Other Agency,75484,48.11171,-120.06595,<Null>,<Null>,US Forest Service,US Forest Service,Point,DNR Assist Other Agency,NORTHEAST
10528,28255,887,ANTOINE CREEK,27957,OKANOGAN,28,0,23,0,E,10,<Null>,Undetermined,None,<Null>,0,7/13/12,815,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,3,False Alarm,77339,47.93838,-119.93133,<Null>,<Null>,<Null>,<Null>,Point,<Null>,NORTHEAST
9428,28080,884,GREEN HOUSE,27799,OKANOGAN,35,0,29,0,E,7,<Null>,Undetermined,None,<Null>,0,7/13/12,816,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,3,False Alarm,806261,48.54133,-119.24792,<Null>,<Null>,<Null>,<Null>,Point,<Null>,NORTHEAST
6122,28124,816,FALSE ALARM - JACKNIFE CREEN,27845,KITTITAS,18,0,22,0,E,18,<Null>,Undetermined,None,<Null>,0,7/13/12,821,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,3,False Alarm,762149,47.050813,-120.122695,WA-SES-173,<Null>,<Null>,<Null>,Point,<Null>,SOUTHEAST
3551,28243,902,HAWK CREEK RANCH,27945,LINCOLN,26,0,36,0,E,17,<Null>,Undetermined,None,<Null>,0,7/13/12,1112,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,3,False Alarm,292866,47.74673,-118.29948,<Null>,<Null>,<Null>,<Null>,Point,<Null>,NORTHEAST
7167,28180,823,FALSE ALARM - BOX RUN,27883,KLICKITAT,5,0,18,0,E,17,<Null>,Undetermined,None,<Null>,0,7/13/12,723,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,3,False Alarm,692661,45.917504,-120.582504,WA-SES-172,<Null>,<Null>,<Null>,Point,<Null>,SOUTHEAST
17897,28225,14,RUTSATZ,27921,WHATCOM,39,0,5,0,E,34,1503,Recreation,Other,<Null>,0.1,7/13/12,2100,7/13/12,2100,7/14/12,1030,7/19/12,1045,<Null>,<Null>,<Null>,1,Classified,1029673,48.825003,-122.144897,WA-NWS-014,<Null>,DNR,DNR,Point,DNR Protection FFPA,NORTHWEST
16440,28212,137,SINLAHEKIN SETUP,27914,OKANOGAN,37,0,24,0,E,15,5400,Lightning,None,<Null>,0.1,7/13/12,1700,7/14/12,1515,7/16/12,630,7/23/12,1326,0.1,<Null>,<Null>,1,Classified,94793,48.707,-119.81844,WA-NES-482,<Null>,Other Government,DNR,Point,DNR Protection FFPA,NORTHEAST
18358,28262,121,NIGHTHAWK,27965,OKANOGAN,40,0,25,0,E,13,1197,Lightning,None,<Null>,0.35,7/13/12,2306,7/13/12,2259,7/14/12,1230,7/22/12,1256,0.35,<Null>,<Null>,1,Classified,105037,48.95944,-119.64372,<Null>,<Null>,Private,DNR,Point,DNR Protection FFPA,NORTHEAST
6424,28556,19,GREAVES,28248,SAN JUAN,37,0,2,0,W,28,1000,Lightning,None,<Null>,0.1,7/13/12,300,7/13/12,350,7/13/12,830,7/13/12,900,<Null>,<Null>,<Null>,1,Classified,1141759,48.667009,-122.955365,<Null>,<Null>,Private,DNR,Point,DNR Protection FFPA,NORTHWEST
6489,28346,124,BULL HIKE,28048,OKANOGAN,39,0,26,0,E,4,3817,Lightning,None,<Null>,0.01,7/13/12,2300,7/13/12,2320,7/14/12,1600,7/14/12,1800,<Null>,<Null>,<Null>,1,Classified,1156080,48.90608,-119.56366,<Null>,<Null>,Bureau Of Land Management,Bureau Of Land Management,Point,DNR Protection FFPA,NORTHEAST
180,28473,119,LIL,28163,LINCOLN,28,0,36,0,E,24,2300,Lightning,None,<Null>,1.5,7/13/12,400,7/13/12,1600,7/13/12,1900,7/22/12,1315,1.5,<Null>,<Null>,1,Classified,1132832,47.91357,-118.20896,WA-NES-458,<Null>,DNR,DNR,Point,DNR Protection FFPA,NORTHEAST
2031,28347,125,SINLAHEKIN SADDLE,28049,OKANOGAN,37,0,24,0,E,15,4908,Lightning,None,<Null>,1.3,7/13/12,2300,7/14/12,1519,7/15/12,1500,8/15/12,1317,1.3,<Null>,<Null>,1,Classified,790072,48.70698,-119.80753,WA-NES-481,<Null>,DNR,DNR,Point,DNR Protection FFPA,NORTHEAST
2032,28242,129,SINLAHEKIN ROCK,27944,OKANOGAN,37,0,24,0,E,15,4900,Lightning,None,<Null>,0.25,7/13/12,2300,7/15/12,1300,7/15/12,1600,8/15/12,1318,0.25,<Null>,<Null>,1,Classified,790072,48.70698,-119.80753,<Null>,<Null>,DNR,DNR,Point,DNR Protection FFPA,NORTHEAST
2033,28282,126,SINLAHEKIN SPOT,27984,OKANOGAN,37,0,24,0,E,15,4900,Lightning,None,<Null>,0.1,7/13/12,2300,7/14/12,2035,7/14/12,2130,7/29/12,1445,0.1,<Null>,<Null>,1,Classified,790072,48.70698,-119.80753,<Null>,<Null>,DNR,DNR,Point,DNR Protection FFPA,NORTHEAST
1032,28254,123,NORTH ELLEMEHAM,27956,OKANOGAN,40,0,26,0,E,19,4217,Lightning,None,<Null>,0.01,7/13/12,2300,7/14/12,1210,7/14/12,1445,7/22/12,1708,0.01,<Null>,<Null>,1,Classified,836860,48.9462,-119.6226,<Null>,<Null>,Private,DNR,Point,DNR Protection FFPA,NORTHEAST
1433,28210,34,8200 RD,27912,PACIFIC,13,0,6,0,W,15,1200,Arson,Other,<Null>,0.3,7/13/12,700,7/13/12,630,7/13/12,1530,9/25/12,1430,<Null>,<Null>,0.3,1,Classified,966594,46.61926,-123.40986,WA-PCS-0034,<Null>,DNR,DNR,Point,DNR Protection FFPA,PACIFIC CASC
10468,28343,122,TILLMAN STRIKE,28045,OKANOGAN,38,0,24,0,E,11,5240,Lightning,None,<Null>,0.1,7/13/12,1830,7/13/12,1855,7/14/12,1700,7/26/12,1216,0.1,<Null>,<Null>,1,Classified,738313,48.80098,-119.78064,WA-NES-463,<Null>,DNR,DNR,Point,DNR Protection FFPA,NORTHEAST
4686,28253,632,HIGHWAY 2,27955,SPOKANE,25,0,40,0,E,28,<Null>,Miscellaneou,Vehicle Fire,<Null>,0.3,7/14/12,1642,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,2,Unclassified,850123,47.64544,-117.78455,<Null>,<Null>,<Null>,<Null>,Point,Threat To DNR Protection FFPA Land,NORTHEAST
8971,28501,1509,CRYSTAL COVE,28183,LINCOLN,28,0,36,0,E,11,0,Lightning,None,<Null>,0.5,7/14/12,1906,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,4,Other Agency,191066,47.93833,-118.23602,WA-NES-484,<Null>,National Park Service,National Park Service,Point,DNR Assist Other Agency,NORTHEAST
2936,28389,1516,BARREL SPRINGS,28103,KITTITAS,20,0,18,0,E,35,0,Lightning,None,<Null>,0.1,7/14/12,1547,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,4,Other Agency,701485,47.183068,-120.544882,<Null>,<Null>,US Forest Service,US Forest Service,Point,DNR Assist Other Agency,SOUTHEAST
480,28500,1505,SOUTH OMAK LAKE,28182,OKANOGAN,32,0,27,0,E,13,<Null>,Miscellaneou,Other,<Null>,211,7/14/12,1403,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,4,Other Agency,47810,48.27509,-119.38217,WA-NES-478,WA-COA-106,Bureau of Indian Affairs,Bureau of Indian Affairs,Point,DNR Assist Other Agency,NORTHEAST
2870,28223,894,RAIN GEAR,27919,STEVENS,30,0,37,0,E,36,<Null>,Undetermined,None,<Null>,0,7/14/12,2016,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,3,False Alarm,542179,48.06164,-118.1053,<Null>,<Null>,<Null>,<Null>,Point,<Null>,NORTHEAST
763,28357,890,ALADDIN ROAD,28059,STEVENS,38,0,41,0,E,17,<Null>,Undetermined,None,<Null>,0,7/14/12,155,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,3,False Alarm,148985,48.79132,-117.65936,<Null>,<Null>,<Null>,<Null>,Point,<Null>,NORTHEAST
1937,28220,900,LITTLE GREEN LAKE,27916,OKANOGAN,34,0,25,0,E,24,<Null>,Undetermined,None,<Null>,0,7/14/12,1248,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,3,False Alarm,430678,48.42602,-119.63327,<Null>,<Null>,<Null>,<Null>,Point,<Null>,NORTHEAST
237,28100,889,LAKESIDE HIGH,27822,STEVENS,27,0,42,0,E,19,<Null>,Undetermined,None,<Null>,0,7/14/12,724,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,3,False Alarm,967485,47.81791,-117.54795,<Null>,<Null>,<Null>,<Null>,Point,<Null>,NORTHEAST
1730,28371,914,TWIN PEAKS,28085,OKANOGAN,37,0,25,0,E,7,<Null>,Undetermined,None,<Null>,0,7/14/12,1431,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,3,False Alarm,802054,48.67581,-118.04942,<Null>,<Null>,<Null>,<Null>,Point,<Null>,NORTHEAST
6464,28261,888,BELL STAR,27964,STEVENS,27,0,42,0,E,21,<Null>,Undetermined,None,<Null>,0,7/14/12,458,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,3,False Alarm,214361,47.82187,-117.50521,<Null>,<Null>,<Null>,<Null>,Point,<Null>,NORTHEAST
19104,28409,833,FALSE ALARM - CATHERINE CREEK,28116,KLICKITAT,3,0,11,0,E,16,<Null>,Undetermined,None,<Null>,0,7/14/12,900,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,3,False Alarm,865003,45.746362,-121.435075,WA-SES-190,<Null>,<Null>,<Null>,Point,<Null>,SOUTHEAST
19322,28222,804,LAKE SIXTEEN,27918,SKAGIT,33,0,4,0,E,15,<Null>,Undetermined,None,<Null>,0,7/14/12,1330,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,3,False Alarm,714184,48.348428,-122.280608,<Null>,<Null>,<Null>,<Null>,Point,<Null>,NORTHWEST
12906,28408,832,FALSE ALARM - TIMBER ROAD,28115,KLICKITAT,6,0,19,0,E,25,<Null>,Undetermined,None,<Null>,0,7/14/12,900,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,3,False Alarm,418452,45.976044,-120.376194,WA-SES-189,<Null>,<Null>,<Null>,Point,<Null>,SOUTHEAST
13629,28407,831,FALSE ALARM - PINE CREEK,28114,KLICKITAT,6,0,19,0,E,12,<Null>,Undetermined,None,<Null>,0,7/14/12,855,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,3,False Alarm,271928,46.019611,-120.37628,WA-SES-188,<Null>,<Null>,<Null>,Point,<Null>,SOUTHEAST
11864,28146,51,MASON CREEK,27867,KITTITAS,20,0,16,0,E,15,2350,Lightning,None,<Null>,0.25,7/14/12,1558,7/14/12,1500,7/14/12,2300,7/19/12,1300,0.25,<Null>,<Null>,1,Classified,521487,47.225188,-120.825245,WA-SES-197,<Null>,Private,DNR,Point,DNR Protection FFPA,SOUTHEAST
16531,28099,10,8 ROAD CAMP,27821,PIERCE,15,0,6,0,E,20,1930,Recreation,Camper,<Null>,0.01,7/14/12,1140,7/14/12,1140,7/14/12,1328,7/15/12,1110,<Null>,<Null>,<Null>,1,Classified,437957,46.770738,-122.076758,WA-SPS-010,<Null>,DNR,DNR,Point,DNR Protection FFPA,SO PUGET
486,28123,11,CARBON RIVER HEIGHTS - LOT #30,27844,PIERCE,19,0,6,0,E,31,852,Debris Burn,None,Extinguish,0.1,7/14/12,1200,7/14/12,1200,7/16/12,1700,7/22/12,1258,<Null>,<Null>,<Null>,1,Classified,924807,47.089604,-122.091834,WA-SPS-011,<Null>,Private,DNR,Point,DNR Protection FFPA,SO PUGET
5274,28266,120,ABIGAIL,27969,SPOKANE,27,0,42,0,E,20,2200,Lightning,None,<Null>,0.01,7/14/12,500,7/14/12,450,7/14/12,1528,7/26/12,1512,0.01,<Null>,<Null>,1,Classified,664097,47.8217,-117.52658,WA-NES-471,<Null>,Private,DNR,Point,DNR Protection FFPA,NORTHEAST
5545,28208,127,SWENSON,27910,STEVENS,27,0,42,0,E,18,2254,Recreation,Camper,<Null>,0.01,7/14/12,2200,7/15/12,1210,7/15/12,1337,7/17/12,1621,0.01,<Null>,<Null>,1,Classified,80089,47.8324,-117.54862,<Null>,<Null>,DNR,DNR,Point,DNR Protection FFPA,NORTHEAST
2739,28226,15,ACME,27922,WHATCOM,37,0,5,0,E,6,301,Children,Children 10+,<Null>,0.1,7/14/12,1800,7/15/12,1145,7/15/12,1234,7/17/12,1150,<Null>,<Null>,<Null>,1,Classified,1048814,48.725191,-122.214291,WA-NWS-015,<Null>,Private,DNR,Point,DNR Protection FFPA,NORTHWEST
8001,28147,52,LITTLE CARIBOU CREEK,27868,KITTITAS,19,0,20,0,E,33,2800,Lightning,None,<Null>,0.33,7/14/12,1516,7/14/12,1550,7/14/12,2034,7/22/12,1515,0.33,<Null>,<Null>,1,Classified,821391,47.097073,-120.336594,WA-SES-198,<Null>,Private,DNR,Point,DNR Protection FFPA,SOUTHEAST
15350,28239,633,CONCONULLY HIGHWAY RIDGE,27941,OKANOGAN,35,0,26,0,E,31,<Null>,Lightning,None,<Null>,0.25,7/15/12,1145,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,2,Unclassified,932873,48.4875,-119.61686,<Null>,<Null>,<Null>,<Null>,Point,Threat To DNR Protection FFPA Land,NORTHEAST
